eventId,headline,source,date,type
E52,News Event 52 affecting industry Tech,FactSet,2024-05-16,Sanction
E53,News Event 53 affecting industry Energy,Bloomberg,2024-12-05,Tariff
E54,News Event 54 affecting industry Tech,FactSet,2023-09-09,Sanction
E55,News Event 55 affecting industry Tech,Reuters,2024-10-06,Default
E56,News Event 56 affecting industry Industrial,Bloomberg,2023-08-28,Tariff
E57,News Event 57 affecting industry Industrial,FactSet,2024-02-27,Merger
E58,News Event 58 affecting industry Tech,FactSet,2023-03-29,Tariff
E59,News Event 59 affecting industry Industrial,Reuters,2023-08-18,Sanction
E60,News Event 60 affecting industry Industrial,Reuters,2023-05-19,Default
E61,News Event 61 affecting industry Industrial,FactSet,2024-06-17,Tariff
E62,News Event 62 affecting industry Energy,Reuters,2024-02-26,Sanction
E63,News Event 63 affecting industry Tech,Reuters,2023-08-12,Sanction
E64,News Event 64 affecting industry Tech,Reuters,2023-04-27,Default
E65,News Event 65 affecting industry Industrial,Reuters,2024-02-09,Default
E66,News Event 66 affecting industry Tech,Reuters,2023-10-26,Sanction
E67,News Event 67 affecting industry Energy,Bloomberg,2023-06-12,Tariff
E68,News Event 68 affecting industry Tech,FactSet,2023-05-06,Tariff
E69,News Event 69 affecting industry Industrial,Bloomberg,2024-07-07,Tariff
E70,News Event 70 affecting industry Industrial,FactSet,2023-03-16,Sanction
E71,News Event 71 affecting industry Tech,Bloomberg,2024-10-01,Merger
E72,News Event 72 affecting industry Industrial,Reuters,2023-07-24,Tariff
E73,News Event 73 affecting industry Tech,Reuters,2023-03-20,Sanction
E74,News Event 74 affecting industry Tech,Bloomberg,2024-02-29,Sanction
E75,News Event 75 affecting industry Energy,FactSet,2023-08-14,Tariff
E76,News Event 76 affecting industry Energy,FactSet,2023-12-31,Tariff
E77,News Event 77 affecting industry Energy,Reuters,2023-07-26,Merger
E78,News Event 78 affecting industry Energy,Reuters,2024-11-16,Default
E79,News Event 79 affecting industry Industrial,Bloomberg,2023-10-29,Default
E80,News Event 80 affecting industry Tech,Reuters,2023-06-06,Default
E81,News Event 81 affecting industry Industrial,FactSet,2023-03-21,Default
E82,News Event 82 affecting industry Tech,Bloomberg,2023-04-16,Tariff
E83,News Event 83 affecting industry Tech,Reuters,2023-10-12,Default
E84,News Event 84 affecting industry Energy,Reuters,2023-04-05,Default
E85,News Event 85 affecting industry Industrial,Reuters,2023-09-25,Sanction
E86,News Event 86 affecting industry Tech,FactSet,2023-02-06,Sanction
E87,News Event 87 affecting industry Tech,Reuters,2023-05-19,Sanction
E88,News Event 88 affecting industry Tech,Reuters,2023-03-13,Default
E89,News Event 89 affecting industry Industrial,Reuters,2023-06-27,Sanction
E90,News Event 90 affecting industry Energy,Bloomberg,2023-05-30,Merger
E91,News Event 91 affecting industry Tech,Bloomberg,2024-04-28,Default
E92,News Event 92 affecting industry Energy,Bloomberg,2023-05-05,Tariff
E93,News Event 93 affecting industry Tech,FactSet,2023-09-04,Sanction
E94,News Event 94 affecting industry Energy,FactSet,2023-12-10,Tariff
E95,News Event 95 affecting industry Energy,Bloomberg,2024-03-25,Sanction
E96,News Event 96 affecting industry Energy,FactSet,2023-11-24,Default
E97,News Event 97 affecting industry Industrial,Bloomberg,2023-07-19,Sanction
E98,News Event 98 affecting industry Tech,Bloomberg,2024-07-08,Tariff
E99,News Event 99 affecting industry Energy,FactSet,2024-01-23,Sanction
E100,News Event 100 affecting industry Tech,FactSet,2023-03-02,Tariff
