"txnId","contractId","date","amount","currency","txnType","merchantId","ApplicationID"
"T162","K582","2023-11-12","223545.15","JPY","Repayment","M37","APP010"
"T163","K383","2024-02-24","492669.05","GBP","Interest","M143","APP003"
"T164","K463","2023-02-02","1499.53","SGD","Drawdown","M168","APP010"
"T165","K996","2023-05-11","1270.92","SGD","Drawdown","M154","APP010"
"T166","K257","2024-10-14","340318.9","EUR","Repayment","M150","APP010"
"T167","K861","2024-02-01","141374.33","GBP","Payment","M77","APP004"
"T168","K92","2023-11-04","349516.23","GBP","Drawdown","M111","APP010"
"T169","K216","2024-04-19","252905.3","EUR","Drawdown","M163","APP010"
"T170","K268","2024-08-07","354169.29","EUR","Repayment","M170","APP010"
"T171","K330","2023-09-23","106101.32","JPY","Drawdown","M5","APP010"
"T172","K936","2024-06-21","67729.15","USD","Interest","M2","APP003"
"T173","K924","2023-01-08","336680.5","SGD","Interest","M196","APP003"
"T174","K403","2024-02-22","41493.24","USD","Payment","M172","APP004"
"T175","K456","2024-06-06","62584.38","SGD","Drawdown","M100","APP010"
"T176","K182","2024-10-13","384214.96","USD","Payment","M119","APP004"
"T177","K380","2024-12-28","97302.44","USD","Repayment","M191","APP010"
"T178","K21","2024-08-12","141286.11","EUR","Repayment","M24","APP010"
"T179","K836","2024-04-21","312993.04","GBP","Repayment","M127","APP010"
"T180","K991","2023-10-09","19361.23","SGD","Repayment","M2","APP010"
"T181","K201","2024-09-29","319579.62","USD","Drawdown","M146","APP010"
"T182","K513","2024-01-19","86068.07","GBP","Repayment","M17","APP010"
"T183","K603","2023-04-10","373240.75","GBP","Drawdown","M146","APP010"
"T184","K877","2023-06-27","440620.54","EUR","Repayment","M174","APP010"
"T185","K24","2024-06-22","339189.5","JPY","Drawdown","M175","APP010"
"T186","K574","2024-11-16","227509.14","SGD","Payment","M83","APP004"
"T187","K443","2024-10-17","497558.13","EUR","Payment","M175","APP004"
"T188","K531","2023-12-29","248291.78","JPY","Payment","M185","APP004"
"T189","K230","2023-02-06","139688.58","SGD","Interest","M81","APP003"
"T190","K6","2023-11-01","98109.46","USD","Payment","M189","APP004"
"T191","K232","2024-06-19","212486.31","USD","Repayment","M51","APP010"
"T192","K169","2023-09-13","156092.12","USD","Payment","M123","APP004"
"T193","K443","2024-09-19","12987.74","EUR","Drawdown","M64","APP010"
"T194","K111","2024-01-03","119941.25","EUR","Payment","M86","APP004"
"T195","K533","2024-09-08","119135.09","USD","Interest","M196","APP003"
"T196","K98","2024-04-30","223781.64","USD","Payment","M16","APP004"
"T197","K939","2023-01-26","189320.17","USD","Repayment","M16","APP010"
"T198","K942","2024-09-15","221517.28","EUR","Interest","M17","APP003"
"T199","K105","2024-06-10","28839.19","USD","Drawdown","M98","APP010"
"T200","K412","2023-03-16","309033.69","SGD","Repayment","M154","APP010"
"T201","K807","2024-05-27","312380.07","SGD","Interest","M119","APP003"
"T202","K815","2023-11-29","440089.15","JPY","Payment","M87","APP004"
"T203","K667","2024-12-29","338212.27","USD","Interest","M133","APP003"
"T204","K337","2024-04-01","97048.18","USD","Payment","M153","APP004"
"T205","K731","2023-02-22","296850.36","GBP","Repayment","M164","APP010"
"T206","K522","2023-07-19","178340.22","SGD","Interest","M48","APP003"
"T207","K249","2023-04-17","398715.77","USD","Repayment","M80","APP010"
"T208","K599","2023-12-05","257049.74","EUR","Drawdown","M150","APP010"
"T209","K907","2024-02-25","387972.34","GBP","Interest","M80","APP003"
"T210","K618","2023-09-24","146240.91","USD","Repayment","M15","APP010"
"T211","K244","2024-01-29","409772.71","JPY","Payment","M109","APP004"
"T212","K353","2023-06-01","488278.88","GBP","Payment","M88","APP004"
"T213","K194","2024-06-02","238386.8","SGD","Drawdown","M149","APP010"
"T214","K580","2023-09-18","308435.47","SGD","Drawdown","M42","APP010"
"T215","K108","2023-12-19","438176.63","USD","Interest","M57","APP003"
"T216","K943","2023-01-03","319744.76","GBP","Interest","M160","APP003"
"T217","K219","2023-07-05","240892.36","EUR","Interest","M53","APP003"
"T218","K410","2023-05-24","413216.08","USD","Drawdown","M3","APP010"
"T219","K76","2023-10-05","15978.78","USD","Repayment","M75","APP010"
"T220","K451","2023-05-31","316035.95","EUR","Payment","M8","APP004"
"T221","K204","2023-06-03","142766.34","GBP","Drawdown","M185","APP010"
"T222","K179","2023-09-21","423919.56","GBP","Repayment","M51","APP010"
"T223","K23","2023-05-17","421597.83","USD","Payment","M174","APP004"
"T224","K141","2023-10-22","327779.73","USD","Drawdown","M54","APP010"
"T225","K313","2023-12-21","120834.82","EUR","Repayment","M135","APP010"
"T226","K819","2024-04-29","440950.23","USD","Payment","M37","APP004"
"T227","K904","2024-12-18","66266.55","GBP","Repayment","M137","APP010"
"T228","K388","2024-06-23","187753.4","JPY","Interest","M163","APP003"
"T229","K251","2024-12-16","24051.4","JPY","Repayment","M138","APP010"
"T230","K302","2024-09-05","75134.89","GBP","Payment","M162","APP004"
"T231","K815","2023-08-06","436552.89","JPY","Interest","M54","APP003"
"T232","K745","2023-03-05","392547.95","JPY","Payment","M43","APP004"
"T233","K521","2023-10-29","375902.71","JPY","Drawdown","M128","APP010"
"T234","K532","2023-12-27","90320.26","EUR","Interest","M184","APP003"
"T235","K979","2024-01-20","237405.32","JPY","Interest","M164","APP003"
"T236","K944","2024-09-06","292407.33","USD","Repayment","M57","APP010"
"T237","K917","2023-06-07","226587.95","GBP","Interest","M56","APP003"
"T238","K314","2023-11-27","444465.76","JPY","Repayment","M96","APP010"
"T239","K261","2024-03-03","43294.7","USD","Drawdown","M114","APP010"
"T240","K532","2023-10-01","115858.61","USD","Interest","M132","APP003"
"T241","K637","2023-09-19","213625.07","SGD","Interest","M105","APP003"
"T242","K377","2024-09-16","249273.99","EUR","Interest","M7","APP003"
"T243","K184","2023-12-10","117661.41","USD","Drawdown","M22","APP010"
"T244","K302","2024-10-16","251380.69","JPY","Payment","M71","APP004"
"T245","K949","2023-06-26","50106.15","USD","Drawdown","M10","APP010"
"T246","K560","2023-06-05","167545.16","EUR","Drawdown","M78","APP010"
"T247","K764","2024-09-25","384472.94","EUR","Repayment","M181","APP010"
"T248","K619","2023-04-18","499204.14","JPY","Drawdown","M3","APP010"
"T249","K789","2023-08-21","141640.79","EUR","Interest","M104","APP003"
"T250","K842","2024-03-26","379145.23","USD","Interest","M168","APP003"
"T251","K525","2024-08-14","475792.94","SGD","Repayment","M59","APP010"
"T252","K741","2024-08-04","105727.64","GBP","Interest","M185","APP003"
"T253","K834","2023-12-25","170989.13","USD","Drawdown","M49","APP010"
"T254","K440","2024-08-21","471022.96","SGD","Repayment","M113","APP010"
"T255","K461","2024-10-24","279664.96","EUR","Repayment","M148","APP010"
"T256","K895","2023-04-10","153480.4","USD","Interest","M169","APP003"
"T257","K855","2023-10-03","170571.3","SGD","Interest","M176","APP003"
"T258","K771","2023-11-10","381657.95","JPY","Drawdown","M84","APP010"
"T259","K602","2023-01-19","284221.14","USD","Repayment","M40","APP010"
"T260","K976","2023-09-14","284527.25","JPY","Interest","M98","APP003"
"T261","K210","2023-10-31","32790.91","SGD","Repayment","M122","APP010"
"T262","K112","2023-09-13","285187.99","SGD","Drawdown","M24","APP010"
"T263","K176","2023-03-23","337767.88","GBP","Payment","M177","APP004"
"T264","K618","2024-01-15","14392.41","GBP","Payment","M99","APP004"
"T265","K291","2023-06-09","117286.67","JPY","Payment","M117","APP004"
"T266","K59","2023-10-14","259747.31","GBP","Drawdown","M106","APP010"
"T267","K401","2023-05-02","494807.97","GBP","Interest","M123","APP003"
"T268","K761","2023-02-23","195107.46","GBP","Repayment","M53","APP010"
"T269","K318","2023-12-02","409130.16","SGD","Repayment","M155","APP010"
"T270","K589","2024-12-30","155846.55","GBP","Interest","M71","APP003"
"T271","K207","2023-01-06","495551.47","SGD","Payment","M103","APP004"
"T272","K620","2024-09-19","124173.22","EUR","Interest","M118","APP003"
"T273","K474","2024-03-23","20503.31","USD","Drawdown","M166","APP010"
"T274","K903","2024-12-14","228697.01","EUR","Interest","M157","APP003"
"T275","K844","2024-09-21","425072.1","SGD","Repayment","M46","APP010"
"T276","K922","2024-04-24","366888.73","SGD","Interest","M169","APP003"
"T277","K188","2024-06-26","284739.02","SGD","Payment","M62","APP004"
"T278","K907","2024-11-07","79808.18","JPY","Drawdown","M171","APP010"
"T279","K939","2023-02-21","349323.95","GBP","Interest","M106","APP003"
"T280","K781","2024-03-05","61494.08","EUR","Payment","M194","APP004"
"T281","K108","2024-01-27","383503.0","EUR","Interest","M116","APP003"
"T282","K169","2023-07-16","104478.68","USD","Interest","M7","APP003"
"T283","K75","2024-05-11","347548.37","SGD","Interest","M88","APP003"
"T284","K764","2023-11-07","428030.8","SGD","Payment","M3","APP004"
"T285","K257","2023-03-31","354840.7","GBP","Drawdown","M172","APP010"
"T286","K767","2023-12-27","242894.86","USD","Payment","M141","APP004"
"T287","K673","2023-07-08","357077.19","SGD","Repayment","M121","APP010"
"T288","K841","2023-08-05","420939.7","GBP","Payment","M156","APP004"
"T289","K103","2023-05-18","147778.18","JPY","Interest","M44","APP003"
"T290","K80","2024-06-05","382030.93","EUR","Repayment","M113","APP010"
"T291","K367","2023-05-19","109119.54","USD","Repayment","M114","APP010"
"T292","K714","2023-02-07","418414.07","JPY","Payment","M100","APP004"
"T293","K707","2023-08-28","222549.36","JPY","Payment","M13","APP004"
"T294","K791","2023-10-21","383790.0","GBP","Drawdown","M62","APP010"
"T295","K205","2023-03-12","9003.18","USD","Payment","M87","APP004"
"T296","K841","2023-05-30","340299.8","USD","Repayment","M25","APP010"
"T297","K817","2024-10-10","415394.88","GBP","Repayment","M12","APP010"
"T298","K426","2024-02-03","54734.23","EUR","Drawdown","M144","APP010"
"T299","K642","2023-05-28","312712.0","JPY","Interest","M110","APP003"
"T300","K124","2023-06-30","107676.21","EUR","Drawdown","M45","APP010"
"T301","K16","2023-11-09","327342.39","USD","Interest","M55","APP003"
"T302","K470","2023-06-20","33942.13","EUR","Drawdown","M12","APP010"
"T303","K69","2024-11-18","110061.87","EUR","Interest","M27","APP003"
"T304","K730","2024-02-21","395838.63","JPY","Repayment","M65","APP010"
"T305","K983","2023-03-15","300333.71","SGD","Repayment","M86","APP010"
"T306","K180","2024-05-08","381096.43","EUR","Interest","M18","APP003"
"T307","K344","2023-01-14","304658.13","JPY","Interest","M98","APP003"
"T308","K524","2024-05-12","371165.15","JPY","Payment","M60","APP004"
"T309","K22","2024-04-23","379711.57","USD","Drawdown","M61","APP010"
"T310","K756","2023-11-29","378865.63","JPY","Payment","M16","APP004"
"T311","K141","2023-10-18","249864.51","GBP","Repayment","M97","APP010"
"T312","K210","2024-05-13","19915.45","JPY","Interest","M190","APP003"
"T313","K899","2023-09-13","67999.24","EUR","Payment","M134","APP004"
"T314","K811","2023-11-19","324375.17","EUR","Payment","M59","APP004"
"T315","K868","2024-07-23","166303.87","GBP","Repayment","M139","APP010"
"T316","K56","2024-12-05","458921.41","GBP","Repayment","M156","APP010"
"T317","K894","2023-10-24","261214.49","GBP","Interest","M162","APP003"
"T318","K7","2023-02-20","435063.5","USD","Repayment","M14","APP010"
"T319","K650","2023-04-20","469198.99","GBP","Payment","M45","APP004"
"T320","K607","2024-03-02","415779.22","GBP","Repayment","M130","APP010"
"T321","K81","2023-11-28","362769.56","EUR","Repayment","M185","APP010"
"T322","K203","2023-07-10","212584.37","JPY","Repayment","M78","APP010"
"T323","K293","2024-03-23","224687.32","GBP","Drawdown","M124","APP010"
"T324","K82","2023-10-07","199723.99","GBP","Interest","M113","APP003"
"T325","K433","2024-01-28","305087.72","SGD","Repayment","M124","APP010"
"T326","K21","2024-08-14","191328.24","USD","Drawdown","M153","APP010"
"T327","K551","2023-04-29","276873.22","GBP","Drawdown","M98","APP010"
"T328","K475","2023-08-26","227347.95","SGD","Interest","M19","APP003"
"T329","K342","2023-04-17","357716.82","GBP","Repayment","M49","APP010"
"T330","K5","2023-01-10","430965.91","EUR","Interest","M104","APP003"
"T331","K948","2023-11-19","470202.21","EUR","Interest","M126","APP003"
"T332","K316","2024-05-12","493773.51","USD","Interest","M10","APP003"
"T333","K944","2023-04-07","193028.18","JPY","Repayment","M50","APP010"
"T334","K782","2023-12-05","478591.34","EUR","Interest","M163","APP003"
"T335","K706","2023-10-13","348531.25","SGD","Interest","M189","APP003"
"T336","K253","2023-07-08","239385.05","EUR","Payment","M179","APP004"
"T337","K682","2024-05-16","74794.26","JPY","Interest","M175","APP003"
"T338","K151","2023-07-17","124459.99","JPY","Repayment","M4","APP010"
"T339","K120","2024-08-21","47060.6","SGD","Interest","M181","APP003"
"T340","K601","2024-11-30","41093.81","GBP","Interest","M43","APP003"
"T341","K850","2023-11-28","127182.75","EUR","Interest","M151","APP003"
"T342","K316","2024-07-24","206392.89","USD","Payment","M163","APP004"
"T343","K587","2024-08-26","398969.44","GBP","Drawdown","M192","APP010"
"T344","K215","2024-12-23","374396.84","EUR","Payment","M44","APP004"
"T345","K836","2024-01-17","1787.71","USD","Interest","M135","APP003"
"T346","K427","2024-05-23","144881.79","SGD","Repayment","M46","APP010"
"T347","K384","2023-05-25","352319.55","GBP","Interest","M47","APP003"
"T348","K515","2023-03-27","225879.73","GBP","Repayment","M52","APP010"
"T349","K61","2024-08-05","92181.97","GBP","Drawdown","M105","APP010"
"T350","K452","2024-05-01","456572.73","USD","Repayment","M21","APP010"
"T351","K301","2023-03-08","189486.54","EUR","Payment","M88","APP004"
"T352","K31","2024-03-30","118155.28","SGD","Payment","M3","APP004"
"T353","K63","2023-07-26","376147.55","USD","Payment","M25","APP004"
"T354","K217","2024-02-10","396101.48","SGD","Drawdown","M125","APP010"
"T355","K485","2024-08-10","169177.95","SGD","Drawdown","M95","APP010"
"T356","K699","2024-11-22","172195.65","EUR","Repayment","M93","APP010"
"T357","K682","2023-11-06","189839.41","USD","Drawdown","M85","APP010"
"T358","K826","2023-03-19","2539.25","SGD","Repayment","M7","APP010"
"T359","K617","2023-04-06","434633.64","EUR","Repayment","M95","APP010"
"T360","K463","2024-04-25","343406.26","SGD","Interest","M170","APP003"
"T361","K193","2023-01-03","493104.52","EUR","Payment","M163","APP004"
"T362","K369","2024-11-09","23831.39","EUR","Interest","M60","APP003"
"T363","K622","2024-01-12","200682.43","JPY","Payment","M90","APP004"
"T364","K439","2024-12-30","465810.25","SGD","Payment","M188","APP004"
"T365","K395","2023-08-17","303979.73","GBP","Payment","M33","APP004"
"T366","K510","2024-09-10","44457.86","JPY","Interest","M44","APP003"
"T367","K918","2023-12-13","477570.56","SGD","Repayment","M63","APP010"
"T368","K217","2023-05-13","376873.01","USD","Payment","M112","APP004"
"T369","K733","2023-01-23","80957.4","EUR","Interest","M197","APP003"
"T370","K288","2023-06-21","359868.32","SGD","Payment","M171","APP004"
"T371","K140","2024-12-17","267737.11","SGD","Payment","M178","APP004"
"T372","K341","2024-11-08","112679.3","JPY","Payment","M165","APP004"
"T373","K352","2023-10-20","455173.4","SGD","Interest","M60","APP003"
"T374","K229","2023-07-21","58729.29","USD","Payment","M23","APP004"
"T375","K349","2024-07-29","296508.04","GBP","Payment","M147","APP004"
"T376","K377","2023-04-09","426811.82","SGD","Payment","M80","APP004"
"T377","K64","2024-04-03","268265.92","SGD","Interest","M82","APP003"
"T378","K790","2023-10-11","398961.55","GBP","Repayment","M28","APP010"
"T379","K405","2023-01-08","269608.18","SGD","Drawdown","M38","APP010"
"T380","K836","2023-08-19","418771.11","SGD","Interest","M38","APP003"
"T381","K616","2023-08-09","73789.48","USD","Drawdown","M80","APP010"
"T382","K515","2024-06-18","62608.54","JPY","Interest","M162","APP003"
"T383","K849","2023-06-17","248017.74","SGD","Payment","M86","APP004"
"T384","K157","2024-10-05","358666.39","GBP","Payment","M199","APP004"
"T385","K184","2024-10-27","244264.82","SGD","Drawdown","M169","APP010"
"T386","K935","2024-10-21","80437.42","USD","Interest","M87","APP003"
"T387","K433","2024-06-10","237237.39","EUR","Interest","M101","APP003"
"T388","K74","2024-02-14","363650.55","EUR","Repayment","M180","APP010"
"T389","K877","2024-03-01","197492.45","GBP","Drawdown","M193","APP010"
"T390","K811","2024-03-26","433061.86","USD","Drawdown","M118","APP010"
"T391","K671","2023-05-08","289001.55","SGD","Interest","M75","APP003"
"T392","K919","2023-04-23","105673.41","GBP","Payment","M93","APP004"
