name,definition,pii,sdpModelId
DaysPastDue,The number of days the loan account has been in delinquency status.,False,SDPEDM03
LoanPurpose,"The stated reason for the loan (e.g., Mortgage, Auto, Personal, Working Capital).",False,SDPEDM03
AmortizationType,"The method used to calculate schedule payments (e.g., Straight-line, Declining Balance).",False,SDPEDM03
GuarantorName,Name of the individual or entity guaranteeing the loan repayment.,True,SDPEDM03
OriginationFee,Fee charged by the lender for processing the new loan application.,False,SDPEDM03
PrepaymentPenalty,The fee structure applied if the borrower pays off the loan before maturity.,False,SDPEDM03
SecuritizationStatus,Indicates if the loan has been packaged into a security and sold to investors.,False,SDPEDM03
RestructuredFlag,Indicates if the terms of the loan have been modified due to borrower financial distress.,False,SDPEDM03
CreditScoreAtOrigination,The borrower's credit score at the time the loan was approved.,True,SDPEDM03
PartyID,Unique immutable identifier for the party (individual or organization).,False,SDPEDM04
FullName,The complete legal name of the party.,True,SDPEDM04
ShortName,An abbreviated or trading name used by the party.,True,SDPEDM04
PartyType,"Classification of the party (e.g., Individual, Corporation, Trust, Government).",False,SDPEDM04
TaxID,"Government-issued tax identification number (e.g., SSN, EIN, VAT).",True,SDPEDM04
DateOfBirthOrIncorporation,The date an individual was born or a company was legally formed.,True,SDPEDM04
CountryOfResidence,The primary country where the party legally resides or is domiciled.,False,SDPEDM04
AddressLine1,Building number and street name of the registered address.,True,SDPEDM04
City,City or town of the registered address.,True,SDPEDM04
PostalCode,Postal or ZIP code of the registered address.,True,SDPEDM04
EmailAddress,Primary electronic mail contact address.,True,SDPEDM04
PhoneNumber,Primary telephone contact number including country code.,True,SDPEDM04
KYCStatus,"Current status of Know Your Customer (KYC) verification (e.g., Verified, Pending, Expired).",False,SDPEDM04
RiskCategory,"Anti-Money Laundering (AML) risk classification (e.g., Low, Medium, High).",False,SDPEDM04
PEPStatus,Indicates if the party is considered a Politically Exposed Person.,False,SDPEDM04
RelationshipManager,Name of the bank employee responsible for managing the relationship.,False,SDPEDM04
Sector,"Industry sector classification code (e.g., NAICS, SIC) for corporate parties.",False,SDPEDM04
LegalForm,"The legal structure of the organization (e.g., LLC, Plc, GmbH).",False,SDPEDM04
ParentCompanyID,Identifier of the parent company if the party is a subsidiary.,False,SDPEDM04
SourceOfWealth,Description of the origin of the party's accumulated wealth.,True,SDPEDM04
BlacklistStatus,Indicates if the party appears on any internal or external sanctions lists.,False,SDPEDM04
TransactionID,Unique identifier for the individual financial transaction.,False,SDPEDM05
TransactionType,"Categorization of the transaction (e.g., Wire, ACH, ATM, POS).",False,SDPEDM05
BookingDate,The date the transaction was posted to the account ledger.,False,SDPEDM05
ValueDate,The date on which the funds become effective for interest calculation.,False,SDPEDM05
Amount,The numerical value of the transaction.,False,SDPEDM05
Currency,The currency in which the transaction amount is denominated.,False,SDPEDM05
DebitorAccount,The account number from which funds are being debited.,True,SDPEDM05
CreditorAccount,The account number to which funds are being credited.,True,SDPEDM05
DebitorName,Name of the party sending the funds.,True,SDPEDM05
CreditorName,Name of the party receiving the funds.,True,SDPEDM05
ExchangeRate,The rate applied if the transaction involves currency conversion.,False,SDPEDM05
ReferenceString,The description or reference text accompanying the transaction.,True,SDPEDM05
Channel,"The medium through which the transaction was initiated (e.g., Mobile App, Branch, Online).",False,SDPEDM05
MerchantCategoryCode,Four-digit number listed in ISO 18245 for retail financial services.,False,SDPEDM05
TransactionStatus,"Current processing state (e.g., Pending, Completed, Failed, Reversed).",False,SDPEDM05
FeeAmount,Any service charge applied directly to this transaction.,False,SDPEDM05
BatchID,Identifier for the batch file if the transaction was processed in bulk.,False,SDPEDM05
AuthorizationCode,Code generated by the issuing bank approving the transaction.,False,SDPEDM05
InitiatorID,User ID or System ID that initiated the transaction request.,False,SDPEDM05
GeoLocation,Latitude and Longitude coordinates where the transaction took place.,True,SDPEDM05
FraudScore,Real-time risk score assigned by the fraud detection engine.,False,SDPEDM05
